"","STRING","MEANING","AGE","bin"
"115","on","upon",2.54139859375,"(2,3]"
"116","paper","to cover the walls",2.94268238636364,"(2,3]"
"117","pillow","support for the head",2.86020050505051,"(2,3]"
"118","walk","go by foot",2.8663359375,"(2,3]"
"119","bus","an automobile",2.5832231429417,"(2,3]"
"120","open","not shut",3.07208931652289,"(3,4]"
"121","bread","food made in loaves",2.62813805799935,"(2,3]"
"122","home","where you live",2.89634733901515,"(2,3]"
"123","monkey","small ape",2.66333755506876,"(2,3]"
"124","pizza","Italian food",2.91517447973713,"(2,3]"
"125","broken","in pieces",3.85386834869432,"(3,4]"
"126","brush","used for scrubbing",2.61583313394903,"(2,3]"
"127","pen","fence in",3.37349376454938,"(3,4]"
"128","bathtub","where people bathe",2.49818944844125,"(2,3]"
"129","toast","to brown by heating",3.82869827380952,"(3,4]"
"130","teddybear","cuddly toy animal",1.77976190476191,"(1,2]"
"131","ice","frozen dessert",3.07230629992319,"(3,4]"
"132","raisin","dried grape",3.39708968253968,"(3,4]"
"133","cry","to shed tears",2.32153441628264,"(2,3]"
"134","frog","water animal",2.69409782020335,"(2,3]"
"135","icecream","sweet frozen food",1.78741496598639,"(1,2]"
"136","pretty","good-looking",3.3856508920841,"(3,4]"
"137","stairs","steps",3.0037074829932,"(3,4]"
"138","cake","a baked dessert",2.55301581541219,"(2,3]"
"139","fall","autumn",3.04999258578431,"(3,4]"
"140","candy","sweets",2.85643134606939,"(2,3]"
"141","towel","a drying cloth",2.92784527324527,"(2,3]"
"142","leg","part of body",2.65128512544803,"(2,3]"
"143","butter","dairy product",3.26477937367865,"(3,4]"
"144","cereal","grain for food",3.2727257751938,"(3,4]"
"145","in","at home",2.61135502260982,"(2,3]"
"146","inside","the inner part",3.21759877260982,"(3,4]"
"147","cheek","part of face",3.42181860465116,"(3,4]"
"148","store","supplies for the future",3.8256928754845,"(3,4]"
"149","money","dollars and cents",3.29828556397307,"(3,4]"
"150","good","well-behaved",2.53621699165463,"(2,3]"
"151","that","not this, the other",2.87926341806592,"(2,3]"
"152","house","give shelter to",2.29816259075908,"(2,3]"
"153","chin","part of face",3.08575774030528,"(3,4]"
"154","read","to learn what printed words mean",2.96052805280528,"(2,3]"
"155","ride","travel in car, train",3.22967280797101,"(3,4]"
"156","wash","clothes for cleaning",2.82061006603553,"(2,3]"
"157","man","humankind",2.50496667467949,"(2,3]"
"158","sleep","to lie in rest",2.47999286163522,"(2,3]"
"159","dance","move body in rhythm",3.37828616071429,"(3,4]"
"160","dinner","the evening or noon meal",2.8828977124183,"(2,3]"
"161","highchair","a chair for feeding babies",1.82449494949495,"(1,2]"
"162","tickle","make laugh",3.02798333333333,"(3,4]"
"163","elephant","largest land animal",2.82841111111111,"(2,3]"
"164","owl","night bird",3.50059892473118,"(3,4]"
"165","bathroom","where bathtub is",2.42717575757576,"(2,3]"
"166","blue","sky color",2.6010388172043,"(2,3]"
"167","coffee","hot brown drink",3.80108484848485,"(3,4]"
